,10001_indexed,10002_indexed,10004_indexed,10005_indexed,10006_indexed,10007_indexed,10009_indexed,10014_indexed,10018_indexed,10021_indexed,10023_indexed,10033_indexed,10034_indexed,10038_indexed,10065_indexed,10069_indexed,10075_indexed,10128_indexed,10280_indexed
4/1/04,100,,,,,,,,100,,,,,100,,,,,
5/1/04,106.0382916,,,,,,,,106.022409,,,,,105.6910569,,,,,
6/1/04,111.634757,,,,,,,,113.7254902,,,,,111.7073171,,,,,
7/1/04,116.6421208,,,,,,,,118.907563,,,,,117.398374,,,,,
8/1/04,121.3549337,,,,,,,,120.1680672,,,,,122.4390244,,,,,
9/1/04,125.0368189,,,100,100,100,,100,119.3277311,100,100,,,126.504065,,,,,
10/1/04,127.3932253,,,101.3064133,102.1518987,102.5433526,,104.3086172,119.4677871,102.6490066,102.6679842,,,129.2682927,100,,100,100,
11/1/04,129.8969072,,,101.9002375,102.9113924,103.699422,,107.1142285,120.0280112,104.3046358,104.8418972,,,131.3821138,102.7748132,,102.1551724,101.9746121,
12/1/04,130.9278351,,,99.76247031,101.6455696,103.3526012,,108.8176353,120.3081232,105.2980132,106.1264822,,,131.3821138,104.6958378,,103.6637931,103.5260931,
1/1/05,130.4860088,,,96.31828979,99.36708861,101.849711,,110.2204409,118.907563,104.9668874,105.9288538,,,129.5934959,105.1227321,,102.4784483,104.9365303,
2/1/05,129.8969072,,,95.24940618,98.60759494,100.3468208,,110.9218437,116.9467787,103.8631347,105.3359684,,,128.7804878,105.1227321,,99.78448276,105.9238364,
3/1/05,131.2223859,100,,96.31828979,99.87341772,100.2312139,100,110.2204409,116.8067227,103.0905077,105.0395257,,,129.4308943,105.4429029,100,98.27586207,105.3596615,100
4/1/05,132.4005891,99.44903581,,97.3871734,100.7594937,100.8092486,99.87341772,109.0180361,117.9271709,102.5386313,104.4466403,,,129.7560976,105.5496265,99.61165049,98.06034483,104.090268,100.1404494
5/1/05,133.4315169,98.20936639,,98.93111639,100.7594937,100.9248555,100,108.5170341,118.907563,101.986755,103.1620553,,,130.0813008,105.2294557,99.51456311,98.27586207,103.2440056,100
6/1/05,134.904271,98.34710744,,100.4750594,101.6455696,101.2716763,101.0126582,109.2184369,119.4677871,102.2075055,102.3715415,,,130.5691057,105.3361793,99.90291262,99.67672414,103.5260931,100.1404494
7/1/05,137.1134021,99.58677686,,100.8313539,103.5443038,102.5433526,102.9113924,110.6212425,121.2885154,102.9801325,102.0750988,,,130.8943089,105.6563501,100.8737864,102.3706897,104.5133992,100.4213483
8/1/05,139.1752577,101.3774105,,101.1876485,105.1898734,103.9306358,104.9367089,112.4248497,123.5294118,103.5320088,102.0750988,,,131.7073171,105.7630736,101.7475728,104.7413793,105.6417489,101.4044944
9/1/05,142.562592,103.9944904,100,101.4251781,106.7088608,105.5491329,107.3417722,114.4288577,126.8907563,104.7461369,103.1620553,,,133.3333333,106.5101387,103.2038835,106.4655172,106.9111425,102.8089888
10/1/05,147.1281296,107.3002755,101.7182131,101.6627078,109.3670886,107.7456647,109.6202532,116.9338677,130.3921569,106.9536424,105.4347826,,,135.9349593,108.4311633,104.9514563,108.6206897,108.3215797,104.494382
11/1/05,151.8409426,110.7438017,104.696449,102.8503563,113.5443038,110.7514451,112.1518987,119.6392786,134.8739496,108.9403974,107.9051383,,,139.0243902,110.4589114,107.0873786,110.6681034,110.1551481,106.6011236
12/1/05,155.0810015,112.8099174,107.2164948,104.631829,116.9620253,113.7572254,114.1772152,123.4468938,138.2352941,110.9271523,110.770751,,,141.300813,113.2337247,108.8349515,111.5301724,112.2708039,107.8651685
1/1/06,157.2901325,113.9118457,107.7892325,105.9382423,117.721519,115.8381503,115.5696203,127.755511,140.8963585,113.7969095,113.6363636,,,142.2764228,116.8623266,110.2912621,113.5775862,114.9506347,108.2865169
2/1/06,158.7628866,114.4628099,107.9037801,106.5320665,117.3417722,116.5317919,115.9493671,129.8597194,142.4369748,116.3355408,115.4150198,,,143.0894309,119.7438634,111.5533981,117.2413793,117.348378,108.988764
3/1/06,160.5301915,115.4269972,109.7365407,107.8384798,117.0886076,116.7630058,116.5822785,130.1603206,145.7983193,117.8807947,116.0079051,,,144.5528455,121.2379936,112.6213592,119.9353448,119.1819464,110.6741573
4/1/06,161.8556701,117.2176309,111.4547537,108.3135392,117.2151899,116.9942197,117.8481013,130.5611222,146.7787115,118.9845475,116.4031621,,,146.1788618,122.945571,113.3009709,119.8275862,120.8744711,112.2191011
5/1/06,163.1811487,119.1460055,111.5693013,107.2446556,117.9746835,118.150289,119.1139241,130.761523,145.5182073,119.5364238,117.4901186,,,147.804878,124.4397012,114.368932,119.0732759,122.0028209,113.6235955
6/1/06,164.0648012,120.2479339,110.4238259,105.1068884,119.7468354,119.4219653,119.8734177,130.5611222,144.8179272,120.1986755,119.7628458,,,150.5691057,126.6808965,115.2427184,118.8577586,122.2849083,115.0280899
