,,,,,Overweight or Obese Adults : Summarize
Topic: Health Behavior and Population
Subtopic: Overweight
Indicator Name: Overweight or Obese Adults
Indicator Description: Overweight or Obese Adults
Notes: *Estimate is based on small numbers so should be interpreted with caution

Year,GeoTypeName,Borough,Geography,Geography_id,IndicatorDescription,Number,Percent,
2014,Citywide,New York City, New York City,1,Overweight or Obese Adults,"3,703,000 ","58.5 (57.0,60.0)",
2014,Borough,Bronx, Bronx,1,Overweight or Obese Adults,"681,000 ","67.9 (64.2,71.3)",
2014,Borough,Brooklyn, Brooklyn,2,Overweight or Obese Adults,"1,125,000 ","58.7 (55.9,61.5)",
2014,Borough,Manhattan, Manhattan,3,Overweight or Obese Adults,"615,000 ","47.5 (44.3,50.7)",
2014,Borough,Queens, Queens,4,Overweight or Obese Adults,"1,050,000 ","59.6 (56.6,62.5)",
2014,Borough,Staten Island, Staten Island,5,Overweight or Obese Adults,"232,000 ","65.1 (59.8,70.1)",
2014,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Overweight or Obese Adults,"84,000* ","56.1* (45.8,66.0)",
2014,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Overweight or Obese Adults,"152,000 ","63.1 (56.1,69.6)",
2014,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Overweight or Obese Adults,"99,000* ","60.6* (49.6,70.6)",
2014,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Overweight or Obese Adults,"118,000 ","50.3 (41.3,59.2)",
2014,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Overweight or Obese Adults,"94,000* ","64.4* (53.7,73.9)",
2014,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Overweight or Obese Adults,"72,000* ","61.2* (50.6,70.8)",
2014,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Overweight or Obese Adults,"76,000 ","38.9 (30.9,47.6)",
2014,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Overweight or Obese Adults,"141,000 ","62.1 (53.5,69.9)",
2014,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Overweight or Obese Adults,"82,000 ","47.2 (37.4,57.2)",
2014,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Overweight or Obese Adults,"161,000 ","70.2 (62.1,77.1)",
2014,Neighborhood (UHF 34),Manhattan, East Harlem,303,Overweight or Obese Adults,"50,000* ","62.7* (51.4,72.7)",
2014,Neighborhood (UHF 34),Brooklyn, East New York,204,Overweight or Obese Adults,"81,000 ","60.6 (51.1,69.4)",
2014,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Overweight or Obese Adults,"110,000 ","51.1 (43.2,59.1)",
2014,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Overweight or Obese Adults,"127,000 ","69.8 (62.1,76.5)",
2014,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Overweight or Obese Adults,"36,000* ","36.7* (26.6,48.2)",
2014,Neighborhood (UHF 34),Queens, Jamaica,408,Overweight or Obese Adults,"153,000 ","69.6 (61.8,76.5)",
2014,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Overweight or Obese Adults,"42,000* ","60.9* (45.0,74.7)",
2014,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Overweight or Obese Adults,"101,000 ","57.6 (47.6,67.1)",
2014,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Overweight or Obese Adults,"97,000* ","67.6* (55.0,78.0)",
2014,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Overweight or Obese Adults,"92,000 ","64.5 (55.6,72.5)",
2014,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Overweight or Obese Adults,"157,000 ","69.5 (61.2,76.7)",
2014,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Overweight or Obese Adults,"108,000 ","53.3 (44.0,62.4)",
