chain_name,school_borough,school_geometry,school_grades,school_name,school_type,store_borough,store_geometry,uhf34_borough,uhf34_geoname,vincenty
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.97889000000001 40.74012),Manhattan,Upper East Side - Gramercy,0.18453591700746164
McDonalds,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,NEW YORK,POINT (-73.98393 40.743156),Manhattan,Upper East Side - Gramercy,0.34778708076126047
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.979491 40.735705),Manhattan,Upper East Side - Gramercy,0.21882279747218145
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.985376 40.739941),Manhattan,Upper East Side - Gramercy,0.2230277553171921
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.98169 40.738031),Manhattan,Upper East Side - Gramercy,0.027968835254382998
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.981651 40.740548),Manhattan,Upper East Side - Gramercy,0.14597932480785517
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.985966 40.744504),Manhattan,Upper East Side - Gramercy,0.47706677105206374
McDonalds,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,MANHATTAN,POINT (-73.97916499999999 40.736945),Manhattan,Upper East Side - Gramercy,0.16464846351538615
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.980665 40.742522),Manhattan,Upper East Side - Gramercy,0.2865762506235505
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.976546 40.744015),Manhattan,Upper East Side - Gramercy,0.468222381608328
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.9806 40.7389),Manhattan,Upper East Side - Gramercy,0.06239855950716785
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.9836 40.7409),Manhattan,Upper East Side - Gramercy,0.19952803031536978
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.97839999999999 40.7452),Manhattan,Upper East Side - Gramercy,0.49656742449813795
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.9773 40.7434),Manhattan,Upper East Side - Gramercy,0.41090080004838625
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.9832 40.7443),Manhattan,Upper East Side - Gramercy,0.4132951402143878
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.982654 40.744972),Manhattan,Upper East Side - Gramercy,0.454502019623035
McDonalds,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,NEW YORK,POINT (-73.98785599999999 40.740654),Manhattan,Upper East Side - Gramercy,0.3615158517155441
McDonalds,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,NEW YORK,POINT (-73.978949 40.744904),Manhattan,Upper East Side - Gramercy,0.46799522495211354
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.9863 40.7342),Manhattan,Upper East Side - Gramercy,0.3817003850138784
KFC,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.98521700000001 40.732293),Manhattan,Upper East Side - Gramercy,0.46386014114643337
McDonalds,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,NEW YORK,POINT (-73.990517 40.736977),Manhattan,Upper East Side - Gramercy,0.4777618776347469
Dunkin Donuts,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.98703500000001 40.733111),Manhattan,Upper East Side - Gramercy,0.4644198320095901
Subway,MANHATTAN,POINT (-73.98161774987457 40.73843258765369),"09,10,11,12,SE",47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,New York,POINT (-73.98090000000001 40.7342),Manhattan,Upper East Side - Gramercy,0.2944789269779904
